time,IR
20.599, 99131
20.619, 99192
20.640, 99281
20.658, 99338
20.678, 99284
20.699, 99243
20.719, 99165
20.738, 99250
20.758, 99432
20.779, 99484
20.799, 99581
20.820, 99569
20.838, 99653
20.859, 99758
20.879, 99698
20.900, 99586
20.918, 99638
20.940, 99716
20.960, 99652
20.981, 99578
21.001, 99636
21.019, 99629
21.040, 99702
21.060, 99704
21.081, 99729
21.099, 99747
21.120, 99607
21.140, 99645
21.161, 99680
21.181, 99704
21.200, 99561
21.220, 99350
21.241, 99383
21.261, 99433
21.280, 99371
21.301, 99280
21.321, 99323
21.342, 99494
21.360, 99628
21.381, 99608
21.401, 99535
21.422, 99468
21.442, 99531
21.461, 99661
21.481, 99841
21.502, 99918
21.522, 100153
21.541, 100681
21.561, 101117
21.582, 101268
21.603, 101205
21.622, 101076
21.642, 100947
21.662, 100912
21.683, 100931
21.701, 100946
21.722, 100838
21.742, 100816
21.763, 100855
21.782, 100908
21.803, 100883
21.823, 100759
21.844, 100636
21.862, 100496
21.883, 100389
21.903, 100354
21.924, 100406
21.943, 100406
21.964, 100274
21.984, 100230
22.005, 100247
22.023, 100178
22.043, 100119
22.064, 100089
22.084, 100029
22.103, 100068
22.123, 100149
22.145, 100151
22.165, 100126
22.184, 100066
22.204, 99951
22.225, 99905
22.245, 99931
22.264, 100002
22.284, 100015
22.305, 99959
22.325, 99907
22.344, 99920
22.365, 99867
22.385, 99767
22.406, 99668
22.426, 99559
22.445, 99456
22.465, 99426
22.486, 99413
22.506, 99381
22.525, 99335
22.545, 99262
22.566, 99210
22.586, 99164
22.605, 99148
22.625, 99192
22.646, 99152
22.666, 99066
22.686, 98943
22.706, 98831
22.726, 98752
22.747, 98741
22.767, 98784
22.786, 98829
22.806, 98845
22.827, 98848
22.847, 98827
22.868, 98778
22.886, 98787
22.907, 98841
22.927, 98886
22.948, 98776
22.966, 98705
22.987, 98618
23.007, 98644
23.027, 98708
23.048, 98674
23.067, 98720
23.088, 98625
23.108, 98546
23.129, 98533
23.147, 98526
23.168, 98442
23.188, 98351
23.209, 98299
23.229, 98267
23.248, 98219
23.268, 98257
23.289, 98309
23.309, 98300
23.328, 98382
23.348, 98334
23.368, 98269
23.389, 98334
23.408, 98405
23.429, 98318
23.449, 98163
23.470, 98044
23.490, 98058
23.509, 98070
23.529, 98037
23.550, 98040
23.570, 98146
23.589, 98262
23.609, 98289
23.630, 98330
23.650, 98371
23.671, 98389
23.689, 98354
23.709, 98292
23.730, 98244
23.750, 98275
23.770, 98364
23.790, 98335
23.811, 98249
23.831, 98176
23.852, 98088
23.870, 98010
23.891, 97913
23.911, 97933
23.932, 97971
23.950, 97883
23.971, 97762
23.991, 97726
24.012, 97735
24.030, 97702
24.050, 97602
24.071, 97523
24.091, 97500
24.112, 97531
24.130, 97510
24.151, 97500
24.172, 97514
24.193, 97570
24.211, 97569
24.232, 97552
24.252, 97573
24.273, 97612
24.293, 97622
24.312, 97609
24.332, 97586
24.353, 97612
24.373, 97646
24.391, 97678
24.412, 97760
24.432, 97814
24.453, 97839
24.473, 97865
24.493, 97800
24.513, 97703
24.534, 97693
24.554, 97662
24.573, 97543
24.593, 97405
24.614, 97361
24.634, 97447
24.653, 97505
24.673, 97457
24.694, 97399
24.714, 97331
24.734, 97206
24.753, 97158
24.773, 97223
24.794, 97223
24.814, 97145
24.834, 97066
24.854, 96874
24.875, 96825
24.895, 96858
24.916, 96946
24.934, 97037
24.955, 96964
24.975, 96874
24.996, 96889
25.014, 96867
25.035, 96857
25.055, 96905
25.075, 97007
25.096, 97067
25.114, 97114
25.135, 97137
25.155, 97230
25.176, 97217
25.195, 97192
25.216, 97196
25.236, 97235
25.257, 97246
25.275, 97219
25.296, 97224
25.316, 97312
25.337, 97383
25.357, 97399
25.376, 97401
25.396, 97330
25.416, 97267
25.437, 97311
25.455, 97411
25.476, 97469
25.496, 97460
25.517, 97352
25.537, 97325
25.557, 97386
25.577, 97472
25.598, 97503
25.618, 97508
25.637, 97532
25.657, 97531
25.678, 97532
25.698, 97582
25.717, 97709
25.737, 97841
25.757, 97897
25.778, 97865
25.798, 97873
25.817, 98016
25.837, 98151
25.858, 98229
25.878, 98227
25.898, 98198
25.918, 98160
25.939, 98187
25.959, 98266
25.980, 98295
25.998, 98187
26.019, 98132
26.039, 98158
26.060, 98163
26.078, 98162
26.098, 98107
26.119, 98072
26.139, 98053
26.160, 98082
26.178, 98099
26.199, 98076
26.219, 98093
26.240, 98081
26.259, 98051
26.280, 97970
26.300, 98007
26.321, 98116
26.341, 98112
26.360, 98122
26.380, 98103
26.401, 98135
26.421, 98187
26.439, 98232
26.460, 98207
26.480, 98201
26.501, 98232
26.519, 98218
26.540, 98183
26.560, 98190
26.581, 98204
26.601, 98219
26.621, 98227
26.641, 98114
26.662, 98022
26.682, 98012
26.701, 98026
26.721, 98047
26.742, 98024
26.762, 98029
26.782, 97982
26.801, 97929
26.821, 97926
26.842, 97959
26.862, 97907
26.881, 97838
26.901, 97737
26.922, 97712
26.942, 97637
26.963, 97574
26.982, 97499
27.003, 97432
27.023, 97449
27.044, 97394
27.062, 97345
27.083, 97314
27.103, 97361
27.123, 97415
27.144, 97372
27.162, 97404
27.183, 97406
27.203, 97395
27.224, 97428
27.242, 97510
27.263, 97565
27.283, 97611
27.304, 97549
27.324, 97478
27.344, 97527
27.364, 97527
27.385, 97499
27.405, 97429
27.424, 97453
27.444, 97469
27.464, 97535
27.485, 97538
27.503, 97532
27.524, 97525
27.544, 97391
27.565, 97216
27.585, 97010
27.604, 96669
27.624, 96114
27.645, 94961
27.665, 85500
27.685, 74960
27.705, 62982
27.726, 52124
27.746, 44381
27.767, 41286
27.785, 38125
27.805, 36402
27.826, 39113
27.846, 48083
27.865, 63142
27.885, 77295
27.906, 85939
27.926, 87084
27.945, 87767
27.965, 88072
27.986, 88251
28.006, 88674
28.027, 89229
28.046, 89544
28.067, 89764
28.087, 90135
28.108, 90617
28.126, 90804
28.146, 91009
28.167, 91180
28.187, 91347
28.208, 91451
28.226, 91609
28.247, 91950
28.267, 92398
28.288, 92595
28.306, 92638
28.327, 92716
28.347, 92855
28.368, 92948
28.388, 92969
28.408, 93040
28.428, 93161
28.449, 93161
28.469, 93106
28.487, 93068
28.508, 93029
28.528, 93078
28.549, 93140
28.569, 93119
28.588, 93067
28.608, 93075
28.629, 93076
28.649, 93176
28.668, 93446
28.688, 93635
28.709, 93819
28.729, 94033
28.750, 94186
28.769, 94388
28.790, 94512
28.810, 94665
28.830, 94666
28.849, 94574
28.869, 94509
28.890, 94393
28.910, 94406
28.931, 94573
28.949, 94744
28.970, 94829
28.990, 94942
29.011, 95126
29.029, 95241
29.050, 95321
29.070, 95326
29.091, 95393
29.111, 95544
29.131, 95617
29.151, 95638
29.171, 95554
29.192, 95477
29.210, 95535
29.231, 95533
29.251, 95504
29.272, 95435
29.292, 95331
29.311, 95237
29.331, 95292
29.352, 95347
29.372, 95317
29.391, 95384
29.411, 95501
29.432, 95604
29.452, 95636
29.472, 95594
29.492, 95567
29.512, 95620
29.533, 95730
29.553, 95740
29.572, 95816
29.592, 95877
29.613, 95932
29.633, 96024
29.652, 96059
29.672, 96054
29.693, 96115
29.713, 96062
29.734, 95962
29.752, 96044
29.773, 96182
29.793, 96281
29.815, 96273
29.833, 96282
29.853, 96301
29.874, 96360
29.894, 96329
29.915, 96363
29.933, 96471
29.954, 96518
29.974, 96444
29.995, 96377
30.013, 96445
30.034, 96576
30.054, 96574
30.075, 96398
30.095, 96237
30.114, 96138
30.134, 96105
30.155, 95985
30.176, 95843
30.194, 95752
30.215, 95744
30.235, 95672
30.256, 95574
30.276, 95472
30.295, 95499
30.315, 95576
30.336, 95616
30.356, 95590
30.375, 95523
30.395, 95545
30.416, 95568
30.436, 95560
30.455, 95553
30.475, 95550
30.497, 95582
30.517, 95616
30.537, 95689
30.556, 95642
30.576, 95540
30.597, 95526
30.617, 95588
30.636, 95566
30.656, 95500
30.677, 95477
30.697, 95384
30.718, 95301
30.736, 95291
30.757, 95418
30.777, 95537
30.798, 95521
30.817, 95477
30.838, 95526
30.858, 95561
30.878, 95617
30.899, 95593
30.917, 95465
30.938, 95354
30.958, 95308
30.979, 95195
30.997, 95098
31.018, 95048
31.038, 95046
31.059, 95005
31.077, 94999
31.098, 94987
31.118, 94966
31.139, 94914
31.159, 94808
31.179, 94831
31.199, 94887
31.219, 94926
31.240, 94937
31.258, 94993
31.279, 95047
31.299, 95123
31.320, 95156
31.340, 95177
31.359, 95213
31.379, 95120
31.400, 95045
31.420, 95080
31.439, 95097
31.459, 95080
31.480, 95069
31.500, 95067
31.521, 95100
31.540, 95287
31.560, 95465
31.581, 95603
31.601, 95662
31.620, 95584
31.640, 95547
31.661, 95641
31.681, 95769
31.702, 95770
31.720, 95769
31.741, 95755
31.761, 95666
31.782, 95511
31.800, 95517
31.821, 95479
31.841, 95346
31.862, 95271
31.882, 95243
31.901, 95172
31.922, 95079
31.942, 95063
31.963, 95135
31.981, 95155
32.002, 95104
32.022, 95014
32.043, 94961
32.063, 95027
32.082, 95188
32.102, 95339
32.123, 95329
32.143, 95305
32.162, 95299
32.182, 95278
32.203, 95245
32.223, 95225
32.242, 95172
32.263, 95168
